,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31
报告期,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报,三季报,中报,一季报,年报
报表类型,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表,合并报表
        产品,18.44,17.68,17.35,18.25,18.46,18.74,19.34,25.60,26.38,27.16,29.11,25.28,24.26,22.82,21.32,21.02,21.95,20.81,20.62,16.56,15.58,13.65,12.46,18.83,18.26,14.51,13.39,18.90,21.06,24.33,24.77,22.85,24.68,21.81,22.01,22.82,24.90,24.99,27.67,27.57
            汽车销售,15.27,14.66,15.57,17.05,17.21,17.90,18.31,26.20,27.26,27.81,29.65,26.54,25.34,23.33,21.13,19.95,20.02,17.83,18.51,17.66,16.66,14.85,13.26,20.49,19.65,16.67,15.72,17.74,22.87,26.67,26.46,19.27,26.42,23.52,24.05,20.97,26.57,26.72,29.28,22.39
            汽车租赁,44.86,44.97,43.49,40.19,40.00,40.67,40.96,39.05,38.36,38.22,38.92,40.44,42.60,44.67,46.13,46.48,46.24,46.75,48.95,47.18,47.21,47.24,45.57,44.71,43.08,41.58,39.75,36.00,36.48,35.24,34.77,36.73,,,,,,,,
            汽车监管信贷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            储能,26.59,24.59,24.65,18.91,17.99,14.68,10.99,7.37,4.96,1.69,,,,,,0.90,4.27,4.83,3.75,12.41,12.69,7.28,2.39,12.24,12.47,10.04,8.45,21.66,27.55,29.00,29.06,1.69,,,,,,,,
            服务及其他收入,6.43,5.07,3.54,5.88,6.99,7.55,7.35,3.46,2.62,1.79,,,,,,,,,,,,,,,,,,,,,,,3.62,3.79,4.73,1.91,3.77,0.13,,
            2014年之前产品分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        地区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            美国,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            中国大陆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            荷兰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            挪威,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            其他地区,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            2014年之前地区分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
